,area,location,latitude,longitude,species,treeform_type
1,ak014,usa,58.05,-152.7,Picea sitchensis (Bong.) Carri¨¨re,G
2,ak015,usa,60.08,-148.97,Tsuga mertensiana (Bong.) Carri¨¨re,G
3,ak019,usa,59.645,-139.311,Picea sitchensis (Bong.) Carri¨¨re,G
4,ak020,usa,60.6,-145.67,Tsuga mertensiana (Bong.) Carri¨¨re,G
5,ak022,usa,60.25,-143.97,Picea sitchensis (Bong.) Carri¨¨re,G
6,ak024,usa,60.07,-148.83,Tsuga mertensiana (Bong.) Carri¨¨re,G
7,ak025,usa,60.73,-148.47,Tsuga mertensiana (Bong.) Carri¨¨re,G
8,ak027,usa,60.82,-149.17,Tsuga mertensiana (Bong.) Carri¨¨re,G
9,ak028,usa,60.83,-148.58,Tsuga mertensiana (Bong.) Carri¨¨re,G
10,ak030,usa,60.37,-148.9,Tsuga mertensiana (Bong.) Carri¨¨re,G
11,ak034,usa,64.82,-163.7,Picea glauca (Moench) Voss,G
12,ak035,usa,63.25,-147.78,Picea glauca (Moench) Voss,G
13,ak036,usa,65.5,-145.33,Picea glauca (Moench) Voss,G
14,ak037,usa,65.5,-145.33,Picea glauca (Moench) Voss,G
15,ak038,usa,64.92,-163.67,Picea glauca (Moench) Voss,G
16,ak039,usa,63.27,-147.92,Picea glauca (Moench) Voss,G
17,ak040,usa,65.37,-146.62,Picea glauca (Moench) Voss,G
18,ak041,usa,65.37,-146.62,Picea glauca (Moench) Voss,G
19,ak042,usa,65.37,-145.93,Picea glauca (Moench) Voss,G
20,ak043,usa,65.37,-145.93,Picea glauca (Moench) Voss,G
21,ak044,usa,63.9,-148.67,Picea glauca (Moench) Voss,G
22,ak045,usa,63.9,-148.67,Picea glauca (Moench) Voss,G
23,ak046,usa,67.07,-159.62,Picea glauca (Moench) Voss,G
24,ak047,usa,68.1,-141.1,Picea glauca (Moench) Voss,G
25,ak048,usa,67.12,-150.08,Picea glauca (Moench) Voss,G
26,ak049,usa,67.15,-150.08,Picea glauca (Moench) Voss,G
27,ak050,usa,67.15,-149.13,Picea glauca (Moench) Voss,G
28,ak051,usa,67.15,-149.13,Picea glauca (Moench) Voss,G
29,ak052,usa,67.13,-152.07,Picea glauca (Moench) Voss,G
30,ak054,usa,63.1,-150,Picea glauca (Moench) Voss,G
31,ak055,usa,63.08,-148.13,Picea glauca (Moench) Voss,G
32,ak056,usa,63.12,-149,Picea glauca (Moench) Voss,G
33,ak057,usa,65.18,-162.2,Picea glauca (Moench) Voss,G
34,ak058,usa,65.18,-162.22,Picea glauca (Moench) Voss,G
35,ak059,usa,65.12,-162.18,Picea glauca (Moench) Voss,G
36,ak060,usa,65.22,-162.25,Picea glauca (Moench) Voss,G
37,ak061,usa,65.08,-162.18,Picea glauca (Moench) Voss,G
38,ak062,usa,65.2,-162.27,Picea glauca (Moench) Voss,G
39,ak063,usa,65.1,-162.15,Picea glauca (Moench) Voss,G
40,ak064,usa,65.08,-162.15,Picea glauca (Moench) Voss,G
41,ak065,usa,65.2,-162.2,Picea glauca (Moench) Voss,G
42,ak066,usa,65.22,-162.22,Picea glauca (Moench) Voss,G
43,ak067,usa,65.22,-162.22,Picea glauca (Moench) Voss,G
44,ak068,usa,65.08,-162.18,Picea glauca (Moench) Voss,G
45,ak069,usa,65.07,-162.23,Picea glauca (Moench) Voss,G
46,ak070,usa,65.18,-162.22,Picea glauca (Moench) Voss,G
47,ak073,usa,61.37,-142.68,Picea glauca (Moench) Voss,G
48,ak074,usa,62.37,-143.05,Picea glauca (Moench) Voss,G
49,ak075,usa,61.15,-142.08,Picea glauca (Moench) Voss,G
50,ak076,usa,62.08,-142.02,Picea glauca (Moench) Voss,G
51,ak077,usa,62.55,-143.28,Picea glauca (Moench) Voss,G
52,ak078,usa,61.33,-142.72,Picea glauca (Moench) Voss,G
53,ak079,usa,67.22,-150.27,Picea mariana (Mill.) Britton,G
54,ak080,usa,67.35,-150.05,Picea mariana (Mill.) Britton,G
55,ak081,usa,67.38,-150.1,Picea mariana (Mill.) Britton,G
56,ak082,usa,67.53,-149.85,Picea mariana (Mill.) Britton,G
57,ak083,usa,67.55,-149.83,Picea mariana (Mill.) Britton,G
58,ak084,usa,67.57,-149.82,Picea mariana (Mill.) Britton,G
59,ak085,usa,68.03,-149.68,Picea glauca (Moench) Voss,G
60,ak086,usa,60.48,-154.33,Picea glauca (Moench) Voss,G
61,ak087,usa,60.5,-153.88,Picea glauca (Moench) Voss,G
